DTW Distances,DTW Normalized Distances,DropDTW Distances,DropDTW Normalized Distances
30048.121448494603,78.6600037918707,15658.137611852886,40.9898890362641
35048.64227071674,62.36413215430024,19155.718817788576,34.08490892844942
40046.10034460854,69.52447976494538,21085.725515592545,36.60716235345928
35260.2097921306,86.42208282384951,18323.00860305861,44.90933481141816
40114.49466247655,88.35791775875892,21379.332073012298,47.091039808397134
30760.647863916045,75.39374476450011,16084.13448046621,39.42189823643679
42061.16251118354,79.36068398336516,22019.70794350507,41.54661876133032
21296.393131904057,73.43583838587605,11270.42082048924,38.863520070652555
38609.971071003776,75.70582562941917,19802.55676010138,38.82854266686545
47901.150532299594,83.74327016136293,24454.257302068683,42.75219808053966
38311.72022263014,64.06642177697347,21743.34615506211,36.36011062719417
33869.343586468654,67.7386871729373,17688.961454349963,35.37792290869992
48884.34844331291,79.1008874487264,26061.088232898222,42.17004568430133
31794.700008765398,64.88714287503143,17026.000192306372,34.74693916797219
42292.70211559415,66.49795930124866,22004.934333899702,34.598953355188215
23600.71719948712,87.41006370180415,13182.585566748454,48.82439098795724
23025.665206294307,86.56265115148236,12009.54157811261,45.14865254929553
57035.52622695037,85.38252429184188,29190.011023550127,43.69762129273971
12570.561094608656,66.16084786636135,6449.331116296625,33.94384798050855
51236.961234794355,84.54944098150884,26246.756636036567,43.311479597420075
39290.192180178456,58.46754788717032,20190.227782426013,30.044981819086328
42375.827086383746,63.05926649759486,22047.12083672462,32.80821553084021
52612.448094308245,75.16064013472607,27524.382269202095,39.320546098860135
37279.62613206588,76.392676500135,19174.999732268123,39.29303223825435
20936.52494798809,63.830868743866134,10706.44608964448,32.64160393184292
21870.849198550768,61.782059882911774,11263.192282821938,31.816927352604342
40953.38498506056,76.69173218176135,21216.631417243865,39.73151950794731
45958.84153545827,72.26232945826771,24205.501451501877,38.0589645463866
34294.34836817043,64.95141736395915,17565.663744230336,33.26830254589079
32777.50130989258,90.54558372898502,17055.066469047462,47.1134432846615
28061.76817193055,72.32414477301688,15358.473342044676,39.583694180527516
30335.62838196419,77.7836625178569,15672.944958436205,40.18703835496463
29911.426335617307,77.89433941567007,15436.144068300988,40.19829184453382
53243.85076186873,73.54123033407284,27749.861096408207,38.32853742597818
